stack=a5n_s1;stackdb=a5n_s1_db2;saveTime=3525324133.652000;version=20150903_v1;numObjects=379;numSpines=263;voxelx=0.18;voxely=0.18;voxelz=1;,
i,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,error,,
80,spineROI,0,147.54,89.538,25,,,4,812,14.72,-3.1292,0,290.05,radius1,1,146.51,89.949,24.95,2013-02-11,12:01:04,2015-09-15,10:08:16,3443428864.000000,3525156496.996000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
80,spineROI,0,152.06,94.068,29,,,4,779,7.1551,-10.694,0,230.79,radius1,1,151.61,95.665,30.785,2013-02-11,12:01:04,2015-09-15,10:08:16,3443428864.000000,3525156496.999000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
80,spineROI,0,142.36,77.007,8,,,4,889,30.278,12.429,0,96.535,radius2,2,142.95,77.036,8,2013-11-16,21:32:48,2015-09-15,10:08:17,3467482368.000000,3525156497.001000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
88,pivotPnt,3,143.63,88.583,21,,,4,825,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
89,controlPnt,2,155.34,101.16,35,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
90,controlPnt,2,149.94,94.68,30,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
91,controlPnt,2,143.46,88.56,21,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
92,controlPnt,2,142.92,81.18,12,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
93,controlPnt,2,144.72,74.7,10,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
94,controlPnt,2,144.18,71.1,10,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,81.812,37.817,32,,,5,922,0,-15.293,0,179.19,radius2,2,80.526,37.907,33.164,2013-02-11,14:51:44,2015-09-15,10:08:17,3443439104.000000,3525156497.003000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,79.411,40.909,36,,,5,937,3.9345,-11.359,0,122.18,radius2,2,78.324,40.592,35.617,2013-02-11,14:51:44,2015-09-15,10:08:17,3443439104.000000,3525156497.005000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,80.231,42.471,33,,,5,945,6.0116,-9.2816,0,111.65,radius2,2,77.033,41.774,33.982,2013-02-11,14:51:44,2015-09-17,08:17:48,3443439104.000000,3525322668.162000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,76.723,44.595,32,,,5,949,7.0608,-8.2324,0,66.909,radius2,2,76.254,42.639,32.599,2013-02-11,14:51:44,2015-09-15,10:08:17,3443439104.000000,3525156497.010000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,75.785,46.275,30,,,5,962,9.8465,-5.4467,0,64.084,radius2,2,74.9,44.633,30.024,2013-02-11,14:51:44,2015-09-15,10:08:17,3443439104.000000,3525156497.012000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,72.702,49.98,26,,,5,984,15.561,0.26772,0,110.51,radius2,2,71.277,49.133,24.563,2013-02-11,14:51:44,2015-09-15,10:08:17,3443439104.000000,3525156497.018000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,69.419,53.849,20,,,5,1011,21.878,6.5851,0,114.66,radius2,2,67.86,53.631,20.588,2013-02-11,14:51:44,2015-09-15,10:08:17,3443439104.000000,3525156497.023000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,67.477,49.906,21,,,5,998,18.985,3.6914,0,274.87,radius1,1,68.01,50.361,22.648,2013-02-11,14:51:44,2015-09-15,10:08:17,3443439104.000000,3525156497.027000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,69.248,47.572,25,,,5,990,16.855,1.5617,0,294.39,radius1,1,69.494,48.789,24.312,2013-02-11,14:51:44,2015-09-15,10:08:17,3443439104.000000,3525156497.029000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,71.249,45.386,25,,,5,977,13.505,-1.7878,0,313.86,radius1,1,71.372,46.687,26.102,2013-02-11,14:51:44,2015-09-15,10:08:17,3443439104.000000,3525156497.031000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,71.449,44.274,30,,,5,967,11.004,-4.2895,0,245.33,radius1,1,73.046,44.65,29.212,2013-02-11,14:56:00,2015-09-15,10:08:17,3443439360.000000,3525156497.033000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,74.695,40.465,33,,,5,949,7.0608,-8.2324,0,277.94,radius1,1,75.345,41.574,32.599,2013-02-11,14:56:00,2015-09-15,10:08:17,3443439360.000000,3525156497.035000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,75.807,39.131,35,,,5,942,5.2144,-10.079,0,286.89,radius1,1,76.401,40.281,34.483,2013-02-11,14:56:00,2015-09-15,10:08:17,3443439360.000000,3525156497.037000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,77.734,37.834,35,,,5,927,0.99825,-14.295,0,261.93,radius1,1,79.014,38.044,35.128,2013-02-11,14:56:00,2015-09-15,10:08:17,3443439360.000000,3525156497.039000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,63.459,54.856,20,,,5,1018,23.418,8.125,0,238.13,radius1,1,65.843,54.171,19.908,2013-11-16,21:41:20,2015-09-15,10:08:17,3467482880.000000,3525156497.042000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
95,spineROI,0,73.764,42.037,32,,,5,953,7.9977,-7.2955,0,244.36,radius1,1,74.619,42.164,32.269,2013-11-16,21:45:36,2015-09-15,10:08:17,3467483136.000000,3525156497.044000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
111,pivotPnt,3,71.089,48.411,25.045,,,5,983,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
